RecordID	Category	Start Time	End Time	Attributes
Guid13	readBoundData	6/8/2013 02:44:54		colName=x; rowCount=1; userSpecified=true; isCategorical=true
Guid13	appInit	6/8/2013 02:45:09		chartName=streamGraph; machineId=machineId_1370659494838_0.4693395541880452; docId=docId_47DEQpj8HBSa-_TImW+5JCeuQeRkm5NMpJWZG3hSuFU^
Guid13	load	6/8/2013 02:45:09		bindingName=bindingId; bindingId=UnnamedBinding_0_1370659415987
Guid13	load	6/8/2013 02:45:09		bindingName=xBindingId; bindingId=UnnamedBinding_1_1370659428083
Guid13	toolTip	6/8/2013 02:45:25		id=btXColumn
Guid13	toolTip	6/8/2013 02:45:35		id=btYColumns
Guid13	toolBarToggle	6/8/2013 02:45:53		isVisible=false
Guid13	toolTip	6/8/2013 02:45:53		id=pinImg
Guid13	toolBarToggle	6/8/2013 02:45:57		isVisible=true
Guid13	readBoundData	6/8/2013 02:46:09		colName=series; rowCount=1; seriesCount=11; isCategorical=false; min=58.96277647629227; max=69.71741322169131
Guid14	appInit	6/8/2013 02:46:29		chartName=streamGraph; machineId=machineId_1370659572984_0.5260253362103673; docId=docId_47DEQpj8HBSa-_TImW+5JCeuQeRkm5NMpJWZG3hSuFU^
Guid14	create	6/8/2013 02:46:29		bindingName=xBindingId
Guid14	create	6/8/2013 02:46:29		bindingName=bindingId
Guid14	resize	6/8/2013 02:46:29		width=600; height=400
Guid14	resize	6/8/2013 02:46:29		width=600; height=400
Guid14	bindFromPrompt	6/8/2013 02:46:45		
Guid14	writeSampleData	6/8/2013 02:46:49		
Guid14	toolTip	6/8/2013 02:46:49		id=btSampleData
Guid14	readBoundData	6/8/2013 02:47:39		colName=x; rowCount=6; userSpecified=true; isCategorical=false; min=2008; max=2013
Guid14	readBoundData	6/8/2013 02:47:39		colName=series; rowCount=6; seriesCount=7; isCategorical=false; min=0; max=2013
Guid14	toolTip	6/8/2013 02:47:59		dataShape=1
Guid14	toolTip	6/8/2013 02:48:02		dataShape=2
Guid14	toolTip	6/8/2013 02:48:11		dataShape=3
Guid14	btColor	6/8/2013 02:48:37		isShowingPalette=false
Guid14	pickedColor	6/8/2013 02:48:39		"color=rgb(237,%20125,%2049)"
Guid14	toolTip	6/8/2013 02:48:50		dataShape=4
Guid14	readBoundData	6/8/2013 02:49:02		colName=series; rowCount=6; seriesCount=6; isCategorical=false; min=0; max=55
Guid14	pickedColor	6/8/2013 02:49:38		"color=rgb(112,%20173,%2071)"
Guid14	pickedColor	6/8/2013 02:49:40		"color=rgb(68,%20114,%20196)"
Guid14	readBoundData	6/8/2013 02:49:55		colName=x; rowCount=6; userSpecified=true; isCategorical=false; min=10; max=33
Guid14	error	6/8/2013 02:49:55		msg=error:%20horizontal%20label%20values%20be%20must%20valid%20and%20increasing%20numbers
Guid14	closeErrorBox	6/8/2013 02:50:01		
Guid14	load	6/8/2013 02:50:52		bindingName=xBindingId; bindingId=UnnamedBinding_0_1370659576832
Guid14	appInit	6/8/2013 02:50:52		chartName=streamGraph; machineId=machineId_1370659830085_0.5521763342027299; docId=docId_47DEQpj8HBSa-_TImW+5JCeuQeRkm5NMpJWZG3hSuFU^
Guid14	load	6/8/2013 02:50:52		bindingName=bindingId; bindingId=UnnamedBinding_1_1370659638670
Guid14	readBoundData	6/8/2013 02:50:52		colName=x; rowCount=6; userSpecified=false; isCategorical=false; min=1; max=6
Guid15	create	6/8/2013 02:49:38		bindingName=bindingId
Guid15	appInit	6/8/2013 02:49:39		chartName=streamGraph; machineId=; docId=docId_47DEQpj8HBSa-_TImW+5JCeuQeRkm5NMpJWZG3hSuFU^
Guid15	create	6/8/2013 02:49:39		bindingName=xBindingId
Guid15	resize	6/8/2013 02:49:39		width=286; height=191
Guid15	resize	6/8/2013 02:49:39		width=286; height=191
Guid15	writeSampleData	6/8/2013 02:49:45		
Guid15	toolTip	6/8/2013 02:49:45		id=btSampleData
Guid15	toolTip	6/8/2013 02:50:17		id=chartTitle
Guid15	setTitle	6/8/2013 02:50:23		length=4
Guid15	aboutBox	6/8/2013 02:50:23		
Guid15	toolTip	6/8/2013 02:50:23		id=btAbout
Guid15	closeAboutBox	6/8/2013 02:50:25		
Guid15	toolBarToggle	6/8/2013 02:50:29		isVisible=false
Guid15	toolTip	6/8/2013 02:50:29		id=pinImg
Guid15	toolBarToggle	6/8/2013 02:50:40		isVisible=true
Guid15	bindFromPrompt	6/8/2013 02:51:19		
Guid15	warning	6/8/2013 02:51:19		msg=Warning:%201%20or%20more%20non-numeric%20values%20were%20converted%20to%200.
Guid15	readBoundData	6/8/2013 02:51:19		colName=series; rowCount=1; seriesCount=1; isCategorical=false; min=0; max=0
Guid15	readBoundData	6/8/2013 02:51:19		colName=x; rowCount=1; userSpecified=false; isCategorical=false; min=1; max=1
Guid16	appInit	6/8/2013 02:51:01		chartName=streamGraph; machineId=machineId_1370659838604_0.6868550483351454; docId=docId_47DEQpj8HBSa-_TImW+5JCeuQeRkm5NMpJWZG3hSuFU^
Guid16	create	6/8/2013 02:51:01		bindingName=xBindingId
Guid16	create	6/8/2013 02:51:01		bindingName=bindingId
Guid16	resize	6/8/2013 02:51:01		width=600; height=400
Guid16	resize	6/8/2013 02:51:01		width=600; height=400
Guid16	bindFromPrompt	6/8/2013 02:51:05		
Guid16	readBoundData	6/8/2013 02:51:05		colName=series; rowCount=6; seriesCount=7; isCategorical=false; min=0; max=2013
Guid16	readBoundData	6/8/2013 02:51:05		colName=x; rowCount=6; userSpecified=false; isCategorical=false; min=1; max=6
Guid16	readBoundData	6/8/2013 02:51:14		colName=series; rowCount=6; seriesCount=6; isCategorical=false; min=0; max=55
Guid16	readBoundData	6/8/2013 02:51:33		colName=x; rowCount=7; userSpecified=false; isCategorical=false; min=1; max=7
Guid16	warning	6/8/2013 02:51:33		msg=Warning:%201%20or%20more%20non-numeric%20values%20were%20converted%20to%200.
Guid16	readBoundData	6/8/2013 02:51:33		colName=series; rowCount=7; seriesCount=7; isCategorical=false; min=0; max=2013
Guid16	closeErrorBox	6/8/2013 02:51:40		
Guid16	writeSampleData	6/8/2013 02:51:41		
Guid16	error	6/8/2013 02:51:41		msg=���ò���ʧ�ܣ���Ϊ�ṩ�����ݶ��󽫸��ǻ��ƶ����ݡ�
Guid16	toolTip	6/8/2013 02:51:41		id=btSampleData
Guid16	readBoundData	6/8/2013 02:52:23		colName=x; rowCount=2; userSpecified=false; isCategorical=false; min=1; max=2
Guid16	readBoundData	6/8/2013 02:52:23		colName=series; rowCount=2; seriesCount=12; isCategorical=false; min=0; max=73.04386859543173
Guid16	readBoundData	6/8/2013 02:52:32		colName=x; rowCount=2; userSpecified=false; isCategorical=false; min=0; max=2
Guid16	readBoundData	6/8/2013 02:52:40		colName=x; rowCount=2; userSpecified=true; isCategorical=true
Guid16	error	6/8/2013 02:52:40		msg=error:%20horizontal%20label%20values%20be%20must%20valid%20and%20increasing%20numbers
Guid16	readBoundData	6/8/2013 02:52:40		colName=series; rowCount=2; seriesCount=12; isCategorical=false; min=NaN; max=NaN
Guid16	readBoundData	6/8/2013 02:53:40		colName=series; rowCount=11; seriesCount=5; isCategorical=false; min=NaN; max=NaN
Guid16	readBoundData	6/8/2013 02:53:40		colName=x; rowCount=11; userSpecified=true; isCategorical=true
Guid16	aboutBox	6/8/2013 02:53:50		
Guid16	toolTip	6/8/2013 02:53:50		id=btAbout
Guid16	closeAboutBox	6/8/2013 02:53:53		
Guid16	readBoundData	6/8/2013 02:54:02		colName=x; rowCount=11; userSpecified=true; isCategorical=false; min=58.96277647629227; max=69.71741322169131
Guid16	readBoundData	6/8/2013 02:54:02		colName=series; rowCount=11; seriesCount=5; isCategorical=false; min=0; max=79.24774452598247
Guid16	btColor	6/8/2013 02:54:10		isShowingPalette=false
Guid16	pickedColor	6/8/2013 02:54:10		"color=rgb(237,%20125,%2049)"
Guid17	create	6/8/2013 02:51:44		bindingName=bindingId
Guid17	appInit	6/8/2013 02:51:44		chartName=streamGraph; machineId=; docId=docId_47DEQpj8HBSa-_TImW+5JCeuQeRkm5NMpJWZG3hSuFU^
Guid17	create	6/8/2013 02:51:44		bindingName=xBindingId
Guid17	resize	6/8/2013 02:51:44		width=600; height=400
Guid17	resize	6/8/2013 02:51:44		width=600; height=400
Guid17	writeSampleData	6/8/2013 02:51:50		
Guid17	toolTip	6/8/2013 02:51:50		id=btSampleData
Guid17	toolTip	6/8/2013 02:51:56		id=chartTitle
Guid17	setTitle	6/8/2013 02:51:58		length=4
Guid17	bindFromPrompt	6/8/2013 02:52:06		
Guid17	readBoundData	6/8/2013 02:52:10		colName=x; rowCount=6; userSpecified=true; isCategorical=false; min=2008; max=2013
Guid17	readBoundData	6/8/2013 02:52:10		colName=series; rowCount=6; seriesCount=7; isCategorical=false; min=0; max=2013
Guid17	error	6/8/2013 02:52:23		msg=The%20set%20operation%20failed%20because%20the%20supplied%20data%20object%20will%20overwrite%20or%20shift%20data.
Guid17	closeErrorBox	6/8/2013 02:52:25		
Guid17	toolTip	6/8/2013 02:52:26		dataShape=4
