NewColumn.Index	Attribute	Value
Guid92	vers	v2
Guid93	anonIP	ip63
Guid93	ChartId	chartId_1393629838225_0.3739411180915526
Guid93	vers	v2
Guid94	anonIP	ip64
Guid94	ChartId	chartId_1394257463498_0.17294561800884928
Guid94	vers	v2
Guid95	anonIP	ip64
Guid95	ChartId	chartId_1394257669162_0.6398032177371802
Guid95	vers	v2
Guid96	anonIP	ip65
Guid96	ChartId	chartId_1396915693353_0.6785410144399069
Guid96	vers	v2
Guid97	anonIP	ip65
Guid97	ChartId	chartId_1396915850564_0.5126381011473982
Guid97	vers	v2
Guid98	anonIP	ip65
Guid98	ChartId	chartId_1396915896669_0.7566980128513816
Guid98	vers	v2
Guid102	anonIP	ip65
Guid102	ChartId	chartId_1396917382302_0.8583467177934146
Guid102	vers	v2
Guid99	anonIP	ip66
Guid99	ChartId	chartId_1396231771145_0.9380777761364267
Guid99	vers	v2
Guid100	anonIP	ip67
Guid100	ChartId	chartId_1396917328058_0.5041793142520037
Guid100	vers	v2
Guid101	anonIP	ip67
Guid101	ChartId	chartId_1396917352947_0.5021386159505292
Guid101	vers	v2
Guid103	anonIP	ip67
Guid103	ChartId	chartId_1396917511012_0.13484485484644998
Guid103	vers	v2
Guid104	anonIP	ip67
Guid104	ChartId	chartId_1396917600641_0.0034717672212597472
Guid104	vers	v2
Guid105	anonIP	ip68
Guid105	ChartId	chartId_1396922257696_0.8315627772471315
Guid105	vers	v2
Guid106	anonIP	ip68
Guid106	ChartId	chartId_1396922326587_0.09785560433058399
Guid106	vers	v2
Guid107	anonIP	ip69
Guid107	ChartId	chartId_1396928913119_0.8764893583590658
Guid107	vers	v2
Guid108	anonIP	ip69
Guid108	ChartId	chartId_1396929011719_0.31518030711614836
Guid108	vers	v2
Guid109	anonIP	ip70
Guid109	ChartId	chartId_1396930389611_0.5130525894267807
Guid109	vers	v2
Guid111	anonIP	ip70
Guid111	ChartId	chartId_1396932732268_0.8511535254709013
Guid111	vers	v2
Guid114	anonIP	ip70
Guid114	ChartId	chartId_1396933444760_0.79441857719976
Guid114	vers	v2
Guid110	anonIP	ip71
Guid110	ChartId	chartId_1396932637539_0.395536532222606
Guid110	vers	v2
Guid112	anonIP	ip71
Guid112	ChartId	chartId_1396932778263_0.16465351232476732
Guid112	vers	v2
Guid113	anonIP	ip71
Guid113	ChartId	chartId_1396932917807_0.36640480383070173
Guid113	vers	v2
Guid115	anonIP	ip71
Guid115	ChartId	chartId_1396933586911_0.1649295707899726
Guid115	vers	v2
Guid116	anonIP	ip72
Guid116	ChartId	chartId_1396934099036_0.4081842034562022
Guid116	vers	v2
Guid117	anonIP	ip73
Guid117	ChartId	chartId_1393908828913_0.775727532455754
Guid117	vers	v2
Guid118	anonIP	ip74
Guid118	ChartId	chartId_1396935903570_0.37804113434915015
Guid118	vers	v2
Guid119	anonIP	ip75
Guid119	ChartId	chartId_1398040021407_0.6489523007938041
Guid119	vers	v2
Guid674	anonIP	ip75
Guid674	ChartId	chartId_1425322784226_0.7234268056061608
Guid674	vers	v4
Guid120	anonIP	ip76
Guid120	ChartId	chartId_1399275488239_0.5759985151671652
Guid120	vers	v2
Guid121	anonIP	ip77
Guid121	ChartId	chartId_1399493466658_0.9250573471804826
Guid121	vers	v2
Guid122	anonIP	ip78
Guid122	ChartId	chartId_1399514085824_0.355356813621445
Guid122	vers	v2
Guid123	anonIP	ip78
Guid123	ChartId	chartId_1399514726389_0.6077005411275687
Guid123	vers	v2
Guid124	anonIP	ip79
Guid124	ChartId	chartId_1396582239891_0.0192831630182958
Guid124	vers	v2
Guid125	anonIP	ip79
Guid125	ChartId	chartId_1399456864088_0.7813917955257009
Guid125	vers	v2
Guid126	anonIP	ip79
Guid126	ChartId	chartId_1397619195392_0.37205274658838605
Guid126	vers	v2
Guid127	anonIP	ip79
Guid127	ChartId	chartId_1399456423428_0.30616842106925163
Guid127	vers	v2
Guid144	anonIP	ip79
Guid144	ChartId	chartId_1398243227701_0.986330862763451
Guid144	vers	v2
Guid128	anonIP	ip80
Guid128	ChartId	chartId_1399521768991_0.610774099889081
Guid128	vers	v2
Guid129	anonIP	ip81
Guid129	ChartId	chartId_1399522403996_0.4280795500573704
Guid129	vers	v2
Guid131	anonIP	ip82
Guid131	ChartId	chartId_1399523557047_0.2160579900579886
Guid131	vers	v2
Guid132	anonIP	ip82
Guid132	ChartId	chartId_1399523655389_0.2754278120794586
Guid132	vers	v2
Guid134	anonIP	ip82
Guid134	ChartId	chartId_1399524422289_0.8913006674871251
Guid134	vers	v2
Guid135	anonIP	ip82
Guid135	ChartId	chartId_1399524466841_0.3758552246639397
Guid135	vers	v2
Guid137	anonIP	ip82
Guid137	ChartId	chartId_1399524929609_0.033968313920769155
Guid137	vers	v2
Guid133	anonIP	ip83
Guid133	ChartId	chartId_1399523806711_0.644402219972062
Guid133	vers	v2
Guid136	anonIP	ip84
Guid136	ChartId	chartId_1399524827084_0.6629027743833122
Guid136	vers	v2
Guid138	anonIP	ip85
Guid138	ChartId	chartId_1399530308781_0.3152679067189833
Guid138	vers	v2
Guid139	anonIP	ip85
Guid139	ChartId	chartId_1399530314987_0.47452803493939965
Guid139	vers	v2
Guid140	anonIP	ip86
Guid140	ChartId	chartId_1399275488239_0.5759985151671652
Guid140	vers	v2
Guid141	anonIP	ip87
Guid141	ChartId	chartId_1399532775952_0.33778631138856546
Guid141	vers	v2
Guid142	anonIP	ip87
Guid142	ChartId	chartId_1399532832220_0.49597665003303687
Guid142	vers	v2
Guid143	anonIP	ip87
Guid143	ChartId	chartId_1399532896626_0.6988794164497396
Guid143	vers	v2
Guid145	anonIP	ip88
Guid145	ChartId	chartId_1399534309707_0.4248306335068599
Guid145	vers	v2
Guid146	anonIP	ip89
Guid146	ChartId	chartId_1399445778230_0.6468514530241601
Guid146	vers	v2
Guid147	anonIP	ip90
Guid147	ChartId	chartId_1399541398585_0.5665593054632687
Guid147	vers	v2
Guid148	anonIP	ip91
Guid148	ChartId	chartId_1386657127328_0.3326175739048026
Guid148	vers	v2
Guid149	anonIP	ip92
Guid149	ChartId	chartId_1398935343365_0.33052576649252974
Guid149	vers	v2
Guid150	anonIP	ip93
Guid150	ChartId	chartId_1395841514624_0.2136844996993092
Guid150	vers	v2
Guid151	anonIP	ip94
Guid151	ChartId	chartId_1399547309300_0.8162478613704673
Guid151	vers	v2
Guid152	anonIP	ip95
Guid152	ChartId	chartId_1399548039251_0.28067498609210917
Guid152	vers	v2
Guid153	anonIP	ip96
Guid153	ChartId	chartId_1399548758365_0.8246197642220355
Guid153	vers	v2
Guid154	anonIP	ip97
Guid154	ChartId	chartId_1399550955876_0.5305968132938719
Guid154	vers	v2
Guid155	anonIP	ip98
Guid155	ChartId	chartId_1399551072472_0.47047413486745393
Guid155	vers	v2
Guid156	anonIP	ip99
Guid156	ChartId	chartId_1399551997252_0.9480796877456017
Guid156	vers	v2
Guid157	anonIP	ip100
Guid157	ChartId	chartId_1399553288135_0.5330351546577114
Guid157	vers	v2
Guid158	anonIP	ip100
Guid158	ChartId	chartId_1399553448341_0.9229703945765053
Guid158	vers	v2
Guid159	anonIP	ip101
Guid159	ChartId	chartId_1399553670172_0.27548103534581464
Guid159	vers	v2
Guid160	anonIP	ip102
Guid160	ChartId	chartId_1377978529372_0.09904349132073314
Guid160	vers	v2
